10T|Oshkosh
11A|ALUMINIUMBODY(USA)
11V|Ottawa
137|AM General
145|Hyundai
15G|Gillig
160|FMC(USA)
177|Thomas
17N|DEERE(USA)
17N|John Deere
18X|WRV
19U|Acura
19U|HONDA(USA)
19V|HONDA(USA)
19X|HONDA(USA)
1A2|AM.MOT.COR.-AMC(CDN)
1A2|AM.MOT.COR.-AMC(USA)
1A2|CHRYSLER(CDN)
1A2|CHRYSLER(USA)
1A2|DAIMLERCHRYSLER(USA)
1A2|JEEPEAGLE(USA)
1A3|AM.MOT.COR.-AMC(CDN)
1A3|AM.MOT.COR.-AMC(USA)
1A3|CHRYSLER(CDN)
1A3|CHRYSLER(USA)
1A3|DAIMLERCHRYSLER(USA)
1A3|JEEPEAGLE(USA)
1A4|AM.MOT.COR.-AMC(CDN)
1A4|Chrysler
1A4|CHRYSLER(CDN)
1A4|CHRYSLER(USA)
1A4|DAIMLERCHRYSLER(USA)
1A4|JEEPEAGLE(USA)
1A5|AM.MOT.COR.-AMC(CDN)
1A5|AM.MOT.COR.-AMC(USA)
1A5|CHRYSLER(CDN)
1A5|CHRYSLER(USA)
1A5|DAIMLERCHRYSLER(USA)
1A5|JEEPEAGLE(USA)
1A6|AM.MOT.COR.-AMC(CDN)
1A6|AM.MOT.COR.-AMC(USA)
1A6|CHRYSLER(CDN)
1A6|CHRYSLER(USA)
1A6|DAIMLERCHRYSLER(USA)
1A6|JEEPEAGLE(USA)
1A7|AM.MOT.COR.-AMC(CDN)
1A7|AM.MOT.COR.-AMC(USA)
1A7|CHRYSLER(CDN)
1A7|CHRYSLER(USA)
1A7|DAIMLERCHRYSLER(USA)
1A7|JEEPEAGLE(USA)
1A8|AM.MOT.COR.-AMC(CDN)
1A8|AM.MOT.COR.-AMC(USA)
1A8|Chrysler
1A8|CHRYSLER(USA)
1A8|DAIMLERCHRYSLER(USA)
1A8|JEEPEAGLE(USA)
1AC|AM.MOT.COR.-AMC(CDN)
1AC|AM.MOT.COR.-AMC(USA)
1AC|AMC
1AC|CHRYSLER(CDN)
1AC|DAIMLERCHRYSLER(USA)
1AC|JEEPEAGLE(USA)
1AD|AM.MOT.COR.-AMC(CDN)
1AD|AM.MOT.COR.-AMC(USA)
1AD|CHRYSLER(CDN)
1AD|DAIMLERCHRYSLER(USA)
1AD|JEEPEAGLE(USA)
1AE|AM.MOT.COR.-AMC(CDN)
1AE|AM.MOT.COR.-AMC(USA)
1AE|CHRYSLER(CDN)
1AE|DAIMLERCHRYSLER(USA)
1AE|JEEPEAGLE(USA)
1AH|AM.MOT.COR.-AMC(CDN)
1AH|AM.MOT.COR.-AMC(USA)
1AH|CHRYSLER(CDN)
1AH|DAIMLERCHRYSLER(USA)
1AH|JEEPEAGLE(USA)
1AM|AM.MOT.COR.-AMC(CDN)
1AM|AM.MOT.COR.-AMC(USA)
1AM|AMC
1AM|CHRYSLER(CDN)
1AM|DAIMLERCHRYSLER(USA)
1AM|JEEPEAGLE(USA)
1AT|AM.MOT.COR.-AMC(CDN)
1AT|AM.MOT.COR.-AMC(USA)
1AT|CHRYSLER(CDN)
1AT|DAIMLERCHRYSLER(USA)
1AT|JEEPEAGLE(USA)
1B2|AM.MOT.COR.-AMC(CDN)
1B2|AM.MOT.COR.-AMC(USA)
1B2|CHRYSLER(CDN)
1B2|CHRYSLER(USA)
1B2|DAIMLERCHRYSLER(USA)
1B2|JEEPEAGLE(USA)
1B3|AM.MOT.COR.-AMC(CDN)
1B3|AM.MOT.COR.-AMC(USA)
1B3|CHRYSLER(CDN)
1B3|CHRYSLER(USA)
1B3|DAIMLERCHRYSLER(USA)
1B3|Dodge
1B3|JEEPEAGLE(USA)
1B4|AM.MOT.COR.-AMC(CDN)
1B4|AM.MOT.COR.-AMC(USA)
1B4|CHRYSLER(CDN)
1B4|CHRYSLER(USA)
1B4|DAIMLERCHRYSLER(USA)
1B4|Dodge
1B4|JEEPEAGLE(USA)
